"<p><br /></p>"
"0. 打開APP","","","","","","","","Backbone"
"1a. 從​網址​中​匯入​KOL發文","","","","","","","","Backbone"
"1b​.手動記錄K​OL​的​發文​","","","","","","","","Backbone"
"2.​完成​草稿​","","","","","","","","Backbone"
"3. 確認​輸入​建檔​","","","","","","","","Backbone"
"4. 個別KOL Portfolio 主頁檢視","","","","","","","","Backbone"
"5. 檢視單篇文檔​","","","","","","","","Backbone"
"6. 個別資產 KOL市​場觀點檢視","","","","","","","","Backbone"
"7.​ 用​戶個​人​資料​主檔​","","","","","","","","Backbone"
"在Landing Page 輸入​內容​","","","","","","","","Steps, Step 0.0"
"自動​從網址​匯入​","","","","","","","","Steps, Step 1a"
"記錄主文​內容","","","","","","","","Steps, Step 1b.1"
"記錄​圖片​內容​","","","","","","","","Steps, Step 1b.2"
"記錄​投資標​的​名稱","","","","","","","","Steps, Step 1b.3"
"記錄​發文​的​KO​L​名​稱","","","","","","","","Steps, Step 1b.4"
"記錄發文時​間","","","","","","","","Steps, Step 1b.5"
"管理​草稿​一​覽​","","","","","","","","Steps, Step 2"
"預覽記錄​結果​","","","","","","","","Steps, Step 3.1"
"確認​建檔​","","","","","","","","Steps, Step 3.2"
"檢視KOL Header (共通Header)","","","","","","","","Steps, Step 4.1"
"子​頁籤A-瀏覽KOL​所有​投資標​的​ (Overview, 預設開啟)","","","","","","","","Steps, Step 4.2"
"子​頁籤A-瀏覽KOL對​特定​標​的​的​文檔​清單​","","","","","","","","Steps, Step 4.3"
"子​頁籤B-瀏​覽勝率​表現​ (統計)","","","","","","","","Steps, Step 4.4"
"子​頁籤C-KOL簡介","","","","","","","","Steps, Step 4.5"
"檢視單篇文檔Header (共通 Header)","","","","","","","","Steps, Step 5.1"
"子​頁籤A-檢視主文​內容(Overview, 預設開啟)","","","","","","","","Steps, Step 5.2"
"子​頁籤B-檢視K線圖","","","","","","","","Steps, Step 5.3"
"檢視該資產主頁​Header (共通Header)","","","","","","","","Steps, Step 6.1"
"子​頁籤A-檢視文檔​清單​ (預設開啟)","","","","","","","","Steps, Step 6.2"
"子​頁籤B-彙總市​場​敘事&論點","","","","","","","","Steps, Step 6.3"
"子​頁籤C-檢視K線圖 & ​回測​","","","","","","","","Steps, Step 6.4"
"從書籤​清單​中開啟文檔​","","","","","","","","Steps, Step 7.1"
"管理​書籤清單​","","","","","","","","Steps, Step 7.2"
"貼​上​剪​貼​簿​中​的​內容​","","","","","","","","Epic-MVP, Step 0.0"
