[2026-04-25T15:36:09.832Z] mode: DRY-RUN (no writes)
[2026-04-25T15:36:10.666Z] stocks total: 414
[2026-04-25T15:36:10.954Z] master rows hit by current tickers: 266
[2026-04-25T15:36:10.956Z] suspect rows: 112
[2026-04-25T15:36:38.998Z] bucket A (remap):     34
[2026-04-25T15:36:38.998Z] bucket B (delete):    55
[2026-04-25T15:36:38.998Z] bucket C (rename):    19
[2026-04-25T15:36:38.998Z] bucket   (noop):      4 (canonical rows skipped)
[2026-04-25T15:36:38.998Z] [A_remap]       CELSIUS         name="Celsius Network" market=US post_stocks=1 (remap-table) → remap to CELH
[2026-04-25T15:36:38.998Z] [A_remap]       FORTUNE         name="Fortinet, Inc." market=US post_stocks=1 (remap-table) → remap to FTNT
[2026-04-25T15:36:38.999Z] [C_rename]      CRCL            name="CRCL" market=US post_stocks=1 (master-name-disagrees) → rename "CRCL" → "Circle Internet Group, Inc. Class A Common Stock"
[2026-04-25T15:36:38.999Z] [A_remap]       CORNING         name="Corning Incorporated" market=US post_stocks=1 (remap-table) → remap to GLW
[2026-04-25T15:36:38.999Z] [B_delete]      AP MEMORY       name="AP Memory Inc." market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      ASML            name="ASML" market=US post_stocks=2 (master-name-disagrees) → rename "ASML" → "ASML Holding N.V. - New York Registry Shares"
[2026-04-25T15:36:38.999Z] [A_remap]       BROADCOM        name="Broadcom Inc." market=US post_stocks=1 (remap-table) → remap to AVGO
[2026-04-25T15:36:38.999Z] [B_delete]      PANTRY          name="Pantry Inc." market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       CONFLUENT       name="Confluent, Inc." market=US post_stocks=4 (remap-table) → remap to CFLT
[2026-04-25T15:36:38.999Z] [A_remap]       6531            name="APMemory Inc." market=TW post_stocks=0 (remap-table) → remap to 6531.TW
[2026-04-25T15:36:38.999Z] [A_remap]       PNTIR           name="Palantir Technologies Inc." market=US post_stocks=0 (remap-table) → remap to PLTR
[2026-04-25T15:36:38.999Z] [C_rename]      AAOI            name="AAOI" market=US post_stocks=1 (master-name-disagrees) → rename "AAOI" → "Applied Optoelectronics, Inc."
[2026-04-25T15:36:38.999Z] [C_rename]      IBM             name="IBM" market=US post_stocks=2 (master-name-disagrees) → rename "IBM" → "International Business Machines Corporation Common Stock"
[2026-04-25T15:36:38.999Z] [A_remap]       MARVELL         name="Marvell Technology, Inc." market=US post_stocks=6 (remap-table) → remap to MRVL
[2026-04-25T15:36:38.999Z] [A_remap]       2408            name="南亞科" market=TW post_stocks=0 (remap-table) → remap to 2408.TW
[2026-04-25T15:36:38.999Z] [A_remap]       CLOUDFLARE      name="Cloudflare, Inc." market=US post_stocks=3 (remap-table) → remap to NET
[2026-04-25T15:36:38.999Z] [A_remap]       SFDC            name="Salesforce, Inc." market=US post_stocks=0 (remap-table) → remap to CRM
[2026-04-25T15:36:38.999Z] [A_remap]       CLOUDFRE        name="Cloudflare, Inc." market=US post_stocks=0 (remap-table) → remap to NET
[2026-04-25T15:36:38.999Z] [A_remap]       PALANTIR        name="Palantir Technologies Inc." market=US post_stocks=2 (remap-table) → remap to PLTR
[2026-04-25T15:36:38.999Z] [B_delete]      APMEMORY        name="APMemory Inc." market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      569             name="聖暉工程科技股份有限公司" market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       566             name="精測股份有限公司" market=TW post_stocks=1 (remap-table) → remap to 566.TW
[2026-04-25T15:36:38.999Z] [B_delete]      VIS             name="威盛" market=TW post_stocks=1 (wrong-market (master has VIS in US))
[2026-04-25T15:36:38.999Z] [A_remap]       PANTR           name="Palantir Technologies Inc." market=US post_stocks=0 (remap-table) → remap to PLTR
[2026-04-25T15:36:38.999Z] [A_remap]       4966            name="普瑞" market=TW post_stocks=1 (remap-table) → remap to 4966.TW
[2026-04-25T15:36:38.999Z] [B_delete]      STARLBS         name="Starbox Holdings Ltd." market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      366             name="366" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       8299            name="8299" market=TW post_stocks=1 (remap-table) → remap to 8299.TW
[2026-04-25T15:36:38.999Z] [A_remap]       PAYPAL          name="PayPal Holdings, Inc." market=US post_stocks=1 (remap-table) → remap to PYPL
[2026-04-25T15:36:38.999Z] [B_delete]      SPACEX          name="SpaceX" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       2357            name="華碩" market=TW post_stocks=1 (remap-table) → remap to 2357.TW
[2026-04-25T15:36:38.999Z] [C_rename]      8086.TW         name="宏捷" market=TW post_stocks=2 (master-name-disagrees) → rename "宏捷" → "宏捷科"
[2026-04-25T15:36:38.999Z] [A_remap]       PURE.US         name="Pure Storage, Inc." market=US post_stocks=1 (remap-table) → remap to PSTG
[2026-04-25T15:36:38.999Z] [B_delete]      CMO             name="CMO" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      2353.TW         name="宏捷" market=TW post_stocks=8 (master-name-disagrees) → rename "宏捷" → "宏碁"
[2026-04-25T15:36:38.999Z] [B_delete]      3044.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      3622.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      4966.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      5349.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      6121.TW         name="馮君" market=TW post_stocks=3 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      6244.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      6435.TW         name="馮君" market=TW post_stocks=3 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      6441.TW         name="馮君" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      6533.TW         name="馮君" market=TW post_stocks=4 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      2883.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "凱基金"
[2026-04-25T15:36:38.999Z] [C_rename]      2886.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "兆豐金"
[2026-04-25T15:36:38.999Z] [B_delete]      2888.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      2892.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "第一金"
[2026-04-25T15:36:38.999Z] [C_rename]      2882.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "國泰金"
